Dosya,MSE_Noisy,MSE_Filtered,SNR_Noisy_dB,SNR_Filtered_dB,SNR_Improvement_dB
384.wav,0.2922754,0.0415859819551031,-10.38443,-1.9159761871079517,8.468453744532674
386.wav,1.3499133e-08,0.0004902352443230972,60.37687,14.775882135401927,-45.60098706625823
388.wav,0.02716525,0.020302423205727442,1.0452604,2.3099189946240655,1.2646585652417413
389.wav,2.2228133e-09,0.0022926080990404714,75.68508,15.550810601393456,-60.134270880540136
39.wav,0.16141027,0.01988569105228207,-10.078556,-0.9846518194893012,9.093904241301715
390.wav,2.8729483e-09,0.00011511675616631592,71.17642,25.14831795478214,-46.02810416435848
392.wav,0.039607696,0.026506553753013487,-0.07812077,1.6661424992603857,1.7442632673306067
393.wav,0.0017758813,0.0017935018119411945,11.893577,11.850697251283266,-0.04287937072601089
394.wav,0.22335087,0.06698827356233747,-4.889598,0.34029046724632805,5.229888360007559
396.wav,0.058894645,0.04631920431775889,0.43284878,1.475995982317396,1.0431472009701213
397.wav,0.060656875,0.047860429479933485,0.50405073,1.5330851534766858,1.0290344218177503
399.wav,0.023068806,0.01247299364736568,-2.113107,0.5574369110011451,2.670543877019822
40.wav,0.1230675,0.02138661271279264,-6.4684196,1.1315943641918593,7.600013916041225
400.wav,3.8071875e-09,0.00034229477549097746,64.86546,15.327504291381027,-49.53795896545491
401.wav,2.0345663e-09,0.00026235511491950266,67.39761,16.29343594874549,-51.104177576645135
402.wav,1.1551631e-09,0.00013152667400197102,69.42125,18.85754206512172,-50.56370732452672
403.wav,4.8727666e-10,0.00011660866646634802,69.58584,15.796287706794917,-53.78955061107618
404.wav,8.4324986e-10,0.0001266173054902292,68.18419,16.418819224717538,-51.7653696180559
405.wav,5.123965e-09,0.0005548080271844003,65.12832,14.782957871764888,-50.34536091485621
406.wav,1.5206326e-09,0.00045260243100918546,69.56828,14.83135894818344,-54.73692413287125
407.wav,8.1275287e-10,0.0003077323321081332,71.48538,15.703233732507043,-55.78214834757108
408.wav,2.1689404e-09,0.0005097454570548015,67.10951,13.39845197776258,-53.711060351338986
409.wav,2.4731919e-09,0.000411048846606888,67.46767,15.261311144319185,-52.206355481657376
41.wav,0.17303899,0.0229822373009558,-9.662505,-0.8949883641086929,8.767516785732616
410.wav,5.248922e-09,0.0008636805686062083,66.55133,14.38849683547465,-52.1628337309316
411.wav,1.393456e-09,0.0026234074506631517,70.93518,8.187458946983773,-62.747721717078726
412.wav,1.1607253e-09,0.0009587091501316548,72.98273,13.81315453692682,-59.16957251385443
413.wav,1.1856298e-09,0.001281078232565125,71.48831,11.15204646368537,-60.33626530389276
414.wav,1.3378744e-09,0.002137572599135324,72.42072,10.385663527085175,-62.03505943434061
415.wav,1.1573258e-09,0.0016948485017536567,71.10574,9.448991653208918,-61.656751754994204
416.wav,1.1804411e-09,0.0015738355081769994,71.86944,10.620284742560697,-61.24915342882602
417.wav,5.573174e-10,0.00010857553967615897,73.94363,21.04733285093333,-52.896293552875264
418.wav,5.8616056e-10,4.118672120471661e-05,73.04451,24.577101681232115,-48.4674082064632
419.wav,5.732711e-10,7.162462902440056e-05,72.299255,21.33223225639576,-50.967023114697994
42.wav,0.0023485408,0.001975998060678935,10.30463,11.054745275796762,0.7501149962557463
420.wav,2.2755444e-09,0.00015405295746844425,66.37065,18.06480424688513,-48.305846998232056
421.wav,9.610769e-10,0.00030041222804182214,73.868324,18.918725740812803,-54.94959853897235
422.wav,1.1077748e-09,0.00020750523402013587,72.00046,19.274680353103196,-52.72577741056868
423.wav,5.9430305e-10,7.258166325305234e-05,72.16645,21.298262167662987,-50.8681883328253
424.wav,1.1742902e-09,0.00042458704002395575,75.224556,19.64264377071483,-55.581912198523455
425.wav,9.325129e-09,0.0019047509089118054,60.978046,7.8762108435644365,-53.10183557367189
426.wav,0.21828507,0.03364096910216534,-9.256241,-1.1346863173815778,8.121554527344985
427.wav,0.1735219,0.02422316094807852,-9.624161,-1.0729252332447015,8.551235533356861
428.wav,0.20470773,0.024506017702418247,-11.826094,-2.607477916552497,9.218615757153557
429.wav,0.2306103,0.02282214794178299,-13.41456,-3.3693381133507594,10.045222204642405
43.wav,0.1521311,0.020722694150773165,-9.654617,-0.9968994697835927,8.65771783978672
430.wav,0.19621743,0.02060731222544946,-12.676765,-2.8896038552545162,9.787161586640014
431.wav,2.0498823e-09,0.00023273945421961842,67.15907,16.607665627446448,-50.55140724853011
432.wav,0.14928696,0.01610448002014082,-12.179581,-2.508829447283614,9.67075124119295
433.wav,0.18911423,0.02683526507397841,-9.402501,-0.922317587269832,8.480183518992375
434.wav,0.21733911,0.02925081955673755,-10.621243,-1.9112434142207144,8.709999108972646
